素材名称,素材内容,素材类型,素材ID,消耗,展示数,平均千次展现费用(元),点击数,点击率%,平均点击单价(元),转化数,平均转化成本,转化率%,深度转化数,深度转化成本,深度转化率%
0713-引导-嘉丽-9.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIYp6XplEg4jH%2F3WroVe6QL8dGKr4gYmwxOZE2piFrr7ehBRW0cL%2Fw%2BkXffvgsj3MLTgScZyd9JojuCeysq8peGi7JW5%2FoxQmVHvdc%2FdgXpU2EsYUZLkXuBECNLQ9a89Wbkd2d5U0e8tGyLTJkJXmWt9yYaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAy%2F7his%3D,竖版视频,7.66E+18,16.52,685,24.12,21,3.07%,0.79,1,16.52,4.76%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,15.03,413,36.39,3,0.73%,5.01,0,0,0.00%,0,0,0.00%
0710-引导-嘉丽-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIdRW4bkLCZLHqnQ9vTKPlQAatrwgNguX4MZsz3llIuoIk5dMITlxAYoqIDtIXnzzkOmqq4ChE5gPE16JUYdOx8JWuiHwHLvRY3Cyd%2BsNuAlVfhvwo7NIYOL5%2Bz%2BXTx2ru2M%2FP13riAQLHkW3MyPWVytTUaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA5lls5I%3D,竖版视频,7.66E+18,15,346,43.35,8,2.31%,1.88,1,15,12.50%,0,0,0.00%
0713-引导-嘉丽-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIqaztmL4zte7hwncYnPAUGk0Kf%2B6fkpxpP4ciU7cQ74%2BCIBct3B7iogwoYOjwrTtPehptvIMs1Jbib28aY2qQkxAzIuOVterYT%2FEkx7ykLK3BYWgLxNXarzxyVIsJK09zPLYVTvyt5%2BzOf8EesHnZJbdkaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA2ibzDg%3D,竖版视频,7.66E+18,14.63,435,33.63,3,0.69%,4.88,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,13.83,645,21.44,12,1.86%,1.15,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,11.85,"1,230",9.63,48,3.90%,0.25,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,11.76,652,18.04,15,2.30%,0.78,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,10.35,451,22.95,8,1.77%,1.29,0,0,0.00%,0,0,0.00%
0714-魏怡引流-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLFtKwu%2BHJpnIE4GSF%2BRYLkt7r7Kup%2BwZ0IPuU%2FXIHA9VYGzA92K46mpi6Uf7KET%2Bpr3COrOaBg1qYgvxFSGG49u6%2BtnnWFu7jmF9LRYvBxl%2B1Vhj8y6UGJYzO3lc%2BnZpsQCOWinzSkyOid1t%2FRcoIKGIwaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA2%2FTGfY%3D,竖版视频,7.66E+18,10.22,246,41.54,5,2.03%,2.04,2,5.11,40.00%,0,0,0.00%
0716-引导-嘉丽-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKp6sZnjqF7v73Pif40djBfVUTFE7QFlDyKFBEto7TZyeOGX2mOT4K7r9x%2FE%2Bj6vmgzgOXTF5OHhHxMfJNRbkxNisRunS3A54dfFNZa2YY67gFGaE3LvvR82JFtKxmDqknuJ2qWA%2Fk6AaQfLtTZAjB4p9EaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA7ANL%2B0%3D,竖版视频,7.66E+18,9.95,337,29.53,12,3.56%,0.83,1,9.95,8.33%,0,0,0.00%
0716-引流瑞晨-9.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKnVv7gHXRbBNmSaT1SW2XqowsWS%2B%2FuTO2V9pY9bQQoxtCZoI6qg56Y7bswwBaCOWaCpl5HJBF%2F%2Bie7aZAKlz11lLokzrZDmJ0NH2KS2GcGX6gmV1jRMnm9rPOWED2CKKGrYzaYWTb4CXdDoCRQopf4SjIaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAyq1e%2F0%3D,竖版视频,7.66E+18,9.34,380,24.58,20,5.26%,0.47,0,0,0.00%,0,0,0.00%
0713-引导-嘉丽-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnILm5eIuoONoMHmdIcj9YlmKAhrdIPL34kxxpQwoBOP09OGMCmEhiln83BBJXLl%2BOsbC2IFixn6FhKrjkOoxRlSvdLJKHDYICa%2BTd%2FHexRj2qt78TqoIwihljANntY%2Ft6S8j4G3PjqjyAtCi7rTwy01NnoaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2FubElc%3D,竖版视频,7.66E+18,7.5,210,35.71,5,2.38%,1.5,0,0,0.00%,0,0,0.00%
0713-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnK6yA2QsZXCWCwaYOM5Qu2sp9pQ9oXTMG2Dd8qmJYRErdKqkFrjUJpCr1EkhL760xcwvBmMoGI9z%2Faur6fQBlnIZVKbJ7gxYvmkSb%2FgQ4oqhioJUNvDwEYr6Bc80HPmW%2FpAExFXyOjTLySM%2FQcsvWDC7lEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzwoCow%3D,横版视频,7.66E+18,6.78,370,18.32,10,2.70%,0.68,1,6.78,10.00%,0,0,0.00%
0710-引导-嘉丽-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIsOSfFaH5Z33cOgvTPTPKgux1Ak8CRufdnntTECNuVDlv0aPyKW5onXwoBOno7gZlL1HmPWMUPVVslp2P5eWXreVqfsyyymHVFQ6UzpcIKIXqseLA%2Bq%2Bbzrh7w%2Fr2fZIKZsOl3pE95njRCxRVlsJzjecUaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA0bdMWU%3D,横版视频,7.66E+18,6.7,236,28.39,9,3.81%,0.74,0,0,0.00%,0,0,0.00%
0710-引导-嘉丽-8.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnK1qvbhNoBzokIPyOyGIfVeJQQo%2FU4JO5RYE3eRxGw%2FPoUmLUy117j0HtYD8IVQ89XK80HQLOfFYVbCp%2BONP62oEwDIJOxjBU8Z5eJnT8dI4LQXAzBnnQQB1xlha%2BehOLkg11xk8qe5VPq3o7qnEjRgIQ8aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAyaq6vg%3D,竖版视频,7.66E+18,6.55,112,58.48,10,8.93%,0.66,0,0,0.00%,0,0,0.00%
0713-引导-雅迪-1-改.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJuMgdT0uCy24vmfcP1nWQiPhMr1OV5uInO1YDIUW3epU6lLPKaPOJBrkydL%2BlRJQCVZ63xLB3VQmSKwQOPPEp4Cef1WUIEDXqDAdpEfR7hXITmGbfPGXdCF7KD39Slwi25S4CMeR%2BpC7mmmKIDG6PEeloaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA7%2F8yIk%3D,竖版视频,7.66E+18,6.25,205,30.49,2,0.98%,3.13,0,0,0.00%,0,0,0.00%
0710引导-小敏-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKlc%2BNrQAe6eVyVpyxjXOwx4yWvG9M4DiZLEBpEyP47ijgsSjO7YaRIYBTtMns8vRnxOoM2jRf1SvGkUGohCu%2BCTQYStpFcKRcwlu%2BsKjIdwfCSVF1gmkOd0XdJf7344ZqPeDQ%2FdicH6m4HNhc3GQU5OPUaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1x8EyU%3D,竖版视频,7.66E+18,6.14,216,28.43,11,5.09%,0.56,0,0,0.00%,0,0,0.00%
0716-引流瑞晨-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLwgJF0muiL4e9E6FE5S0oV7Uoa%2Bif8aD5PYKo32W1wFl%2FOrkriMGQt90qvZK48FkcIzDVixKdD%2F9VMf8f0vri29AFf4DJZ8WKFibtBzCON5lxaQlCLXlmgZzOBXowkKRBpGZEHwQrIGNsnT0aunBUo86IaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA6Rn%2FFY%3D,竖版视频,7.66E+18,6.03,329,18.33,10,3.04%,0.6,0,0,0.00%,0,0,0.00%
0715-魏怡引流-7.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJEkADtwEkWrcDMGRmn2pAxJLrr7qvaWNv4wWyeHBLBTHAES5lSk5wpXTkGJDejs2qrV5GzqTbXjU7lhUHtwY6cLogf3oleSNYgfyDkWve6vXI5BIqIWl%2BfPy2H6PNuXzKT3hyTFpfskgiR5W2TORv%2Bd1UaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA7rPSts%3D,竖版视频,7.66E+18,5.97,172,34.71,3,1.74%,1.99,0,0,0.00%,0,0,0.00%
0716-引流瑞晨-6.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJKr4cux6GzBJN9HaeJiq1BLxhgesShzwqR1a%2FUeZcUciOQixnp%2FJFTRh8xiBlu%2BoNYAYd%2FAK8UbS%2FMdT5Hs%2Bf6Uwl8rkJDipkcvDSP5%2BGuhRm7uFJfbGg6ckKShk%2By0r8uUMZ3jcfsmfp4%2BZ9JlZsSsZAaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2BjcmDE%3D,竖版视频,7.66E+18,5.94,245,24.24,11,4.49%,0.54,1,5.94,9.09%,0,0,0.00%
0716-引流瑞晨-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJ7My0be8OpMY3gy09uDiEmjjn9oYDWdc1hjYxdMWEYeivi1vwaBDBU%2Baz3P%2Fs3%2FIzxfHIBLpqxKyqQU40DiV4LoFwoa5cSmsv89je0yLRaBxaSZmuGXDNy0oiKpr8%2BwSTKB1tc33ojc9MeARO94nHt4EcaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA9JwbJk%3D,竖版视频,7.66E+18,5.11,269,19,6,2.23%,0.85,0,0,0.00%,0,0,0.00%
0714-瑞浩引导修改-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKGwccfCH046TvepothRuV1HzxsykK%2FvI1Wi7PYakZ1z6b6LFbpNstzZzkyxutLTaFCF%2B7c6TCQXfdX%2Bhgh8JdKKrCJKqPJlxssK%2B5KDtaS00Lhe8e4U7UmKq6HuImol2iIpWqAV5sjVQWGSzZlZgwAYIEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzWJu6Y%3D,竖版视频,7.66E+18,5.08,368,13.8,12,3.26%,0.42,0,0,0.00%,0,0,0.00%
0713-引导-嘉丽-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKiRHOwDR87dLcnS4d3Q0lx0nulpGdPmP5CXHYyH3xe%2FNA%2FVDVAvsRJ0QFuGOFNq7RkAmyftIR0WDNTB3AmwtiodbXxSNK0QFDwkTO0ds%2BxmRS8a6P3B8U5gwvIBVHuCQ%2FX6GBBiKf4u1wIyr41fbWvTM4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2BKUZ94%3D,竖版视频,7.66E+18,4.88,193,25.28,4,2.07%,1.22,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,4.22,193,21.87,5,2.59%,0.84,0,0,0.00%,0,0,0.00%
0713-引导-嘉丽-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLwRdgQ%2FnIaX3G61Y7MNEFg%2Fz1tVvk6%2Fz0m5TpShwoPXX4KIkyvQ57XSJa2kq3x5wqUTJYxlSSdmc8j8PB0H8EesAVrUqJpI00zvCHl%2FXiB5L7t%2BhTzaGGTJf8bsIGgxpRSBwCZtmjFVvZbx%2Fg2rG3bFU4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA6t83gA%3D,竖版视频,7.66E+18,4.18,61,68.52,1,1.64%,4.18,1,4.18,100.00%,0,0,0.00%
0716-引流瑞晨-7.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKcY0z3gurGuVWJC6aYg3p0xN62qa0acBnh8QCREZXHtmz%2B4IJo8tLLwhnbVUtPsf64wISdWEAmJliKc3fdklotmijCyS3SADrq1U6%2BN1hp%2F7sHGF94Gs475B1RoMGiio0c65z9OdmS1n24M%2FnI8651GBEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAwb2mbE%3D,竖版视频,7.66E+18,3.97,232,17.11,13,5.60%,0.31,2,1.99,15.38%,0,0,0.00%
0713-引导-嘉丽-7.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJLn00gK7MSVQ%2BcqfcKEnpjMfwaTaBM4%2BGOJSTq5n%2BDgCwqQry5mDQdi9g1GyUJIhpdZoUuoNLV2Coxc1vRujN4Vh7DxX1sJ%2BYeYtRnrnzit5AMiz2Slhl%2FYJDYfsXPAjYW0DQGY46ebMs3Q0CfMXFYSU0aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA75wFcA%3D,竖版视频,7.66E+18,3.82,98,38.98,6,6.12%,0.64,0,0,0.00%,0,0,0.00%
0710引导-小敏-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKlC7PyIrow0sd%2FenkNvd%2BenZ2nWkXIDw%2Bp9VVgnHq3Hf7TXhOAXQpL3FgSWfsQdBs15bJHfWnhjcw7hHSgov7THcnAzYMxueqXmt8epsOp8Pcm7Ay3KoBdcGKXiKrXJ%2FysotXt7Wq5kqoZm9gw%2BZueOMMaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzaT21g%3D,竖版视频,7.66E+18,3.59,135,26.59,8,5.93%,0.45,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,3.33,138,24.13,4,2.90%,0.83,0,0,0.00%,0,0,0.00%
0716-引流瑞晨-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnK2Xp%2BxUeV4Gy0OaD1rEvT%2Fm28CCIMxiFYyYt5XB%2FRM3RQUd%2B1Wz1t1bcwPP8mEvFDeHVTL0sgXd56bQgYtLEz4Ugu1v5DHxshuzda6x2NKvkPpVF2lA6duAxCsIQFJSsQfq%2Fs8qATEygVkW153hwjGKp0aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA91FyuI%3D,竖版视频,7.66E+18,3.23,143,22.59,5,3.50%,0.65,0,0,0.00%,0,0,0.00%
0710-引导-嘉丽-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKOOFflmUFTXW4RfbywNNKSzPjTkw6lZxE5m%2Bb8yPjCvRcUVKmszRXfe162fShF8lZLJH5s0fPDFgFtdPpiqoB3QCthVIonFCy7vUh3p%2FvJgxNh%2FcmUJ2yFHndwNc8b1llcMnhCMxtl%2FTB%2BfGKP3bwrgUMaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAx2QXzc%3D,横版视频,7.66E+18,3.09,87,35.52,3,3.45%,1.03,0,0,0.00%,0,0,0.00%
0715-魏怡引流5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnL1L%2FRD48Ms%2BxRpYShMY9XM19knXaoMhZH2ZDKdoI7YSRyEmliUycdji%2BQlxFk7ZIppQO0fYqFsGGaORTmXyJGLLD44mv7yrxhRNJEbEXQ2Rx6ejM3ODwrF3NfgIuwnqImey2IPK1TFCHEdMzxh6tx2BBwaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAzmP2WM%3D,竖版视频,7.66E+18,2.44,49,49.8,2,4.08%,1.22,0,0,0.00%,0,0,0.00%
0710引导-小敏-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIdzGzZzBdCvHePD5RqN%2BX4ipUSeaPJN5ZwUNuvvCyAOxdfDSjc0QjXN5dXQ3cvfBQCV71%2FulL%2FchFJoQI4XI3ca4rwGUVLLIoT9Zvfr%2BjOJAhMFsxmTj86SG3KiisKIXkemfJ82%2BlA0Bvv2%2F7nNTEIFBMaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAxZxo9U%3D,竖版视频,7.66E+18,2.39,88,27.16,4,4.55%,0.6,0,0,0.00%,0,0,0.00%
0714-魏怡引流-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJyeTWi7XCtQKAH6Irnr1YQssPM8E%2BFzsPg0RrpmnJyOemrbjf4XEwjvMbAC5KnpsF3DlOu9Bx4bNRExvtQv6pXxMroriAoLDMqkK7WF4PECdE6H%2BfB%2B%2BXxgGW%2BOYJz52ou%2FzTfSqaUvLYfk%2BPvUPADdxoaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBAyhfneI%3D,竖版视频,7.66E+18,2.38,89,26.74,3,3.37%,0.79,0,0,0.00%,0,0,0.00%
0715瑞晨2次修改-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKjM3xhgIR1Q06tTUXHLOjApfEUixDTFhADJvjTkN1EfmJAOw9ilqZu6IiK3B9DJot%2FKVO310QigJ9V5hLmKu7q%2FjF%2FVSQf0NH8J7McF8XluLqK34IHmMHx33d%2BpE6zgR%2F8OjLMfi8gK5fEkCU9Ue8gj40aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA34wJcQ%3D,竖版视频,7.66E+18,2.14,40,53.5,0,0.00%,0,0,0,0.00%,0,0,0.00%
0714-魏怡引流-6.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJ2l0Ir2b53ZQki9KpFZxpuXaHXf%2BkIa46SYtbzA9nVOpWjTxUNFiiDjM75LyzQv5D8a4PE4dD8snxXYFjlhLqQQsKjKXX37oBiQd1r2axhStgLoGeyLuq5oWku2cUUUpHlxYR2JyQzB9yF6RNheYf4ZTAaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA96%2FKyg%3D,竖版视频,7.66E+18,1.94,42,46.19,1,2.38%,1.94,0,0,0.00%,0,0,0.00%
0715-魏怡引流-6.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIBPX3zRguFUWFhndHk3V3i7lYhPmYBqnnNuTrE9wBnoyfxA9FG3DtEdWgcuLzExzmNZkEn906sg8o7jCpEAXFi335Svn2ISe%2FIyA4sEm7q1m3Kl4MO%2BkdpEyqMKk%2Fpq%2FZMHJjETwAhbUFgJZ%2BbJJ8SiHIaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA0Rn%2BSM%3D,竖版视频,7.66E+18,1.76,23,76.52,2,8.70%,0.88,0,0,0.00%,0,0,0.00%
0710引导-小敏-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIXWssgTw4wyRFZblmw%2BOatY8Qlu65sZl34Zd620y3XbCVrA93U2SSIRXv1zooBHgMNohv%2FZF6Li6i5je%2FZvhg2qee9Qqtq8BssAipiEZBufRazsG2YKsioxVJsU3zLDw8S190rEMeiUbm9yMuQOniJftsaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA8J%2FhIQ%3D,竖版视频,7.66E+18,1.56,60,26,3,5.00%,0.52,0,0,0.00%,0,0,0.00%
-,AIGC动态创意素材暂不支持预览内容,竖版视频,7.66E+18,0.25,51,4.9,1,1.96%,0.25,0,0,0.00%,0,0,0.00%
-,别再因为数学而困扰；这套全科学霸笔记，点击领取最新学习资料。,标题,7.66E+18,732.79,"27,838",26.32,"1,411",5.07%,0.52,37,19.81,2.62%,0,0,0.00%
微信视频_20260711163659.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnL6n2z2S6wp71z48UPgW4AdAswsrCGBqqRjF4Mye5GALYWX5RE6Dw6vzLh0xc2TwIxpDmcJxkBiQgaIDl%2FOVoNvDVghkIpxtTRXx%2BpuLDTz5JtwaAjTEt5qCWPBB7crlfvJ2iwPcnMwJFh6AhA7Iv%2BIJ4UaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhEL%2BTlw4Yvfeq7g4gASIBAwFsOd4%3D,横版视频,7.66E+18,606.33,"38,695",15.67,411,1.06%,1.48,33,18.37,8.03%,0,0,0.00%
-,高中生学习成绩不好？那是你没用对方法！这套学霸笔记，可以帮助你！,标题,7.66E+18,424.25,"25,917",16.37,285,1.10%,1.49,26,16.32,9.12%,0,0,0.00%
0715瑞晨引流-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLy0fZyouE6eO1%2BFo7CkzpiBuObvp%2FssVDAkDWXj%2BmbCDDEPjHbc%2BTWOGLLGaLAjWjt5Pl1EGN18EZ2OFkOSRTcHn3RrEjRJ6ajrQo1IJrVnrGdca2PeWGiAGnbvNs%2FV5M%2BiPeUJMkaD5nQt0FVBFgCPLcaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhEL%2BTlw4Yvfeq7g4gASIBA%2Bs%2FI38%3D,竖版视频,7.66E+18,251.62,"6,802",36.99,256,3.76%,0.98,9,27.96,3.52%,0,0,0.00%
0714瑞晨引流修改-7.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJfhgFsLJEjr94v%2BrZ93%2Fj%2BVPImpWzb6WAdWLS6gbxTIJQKyCKVv3JPUc%2FzixnZVOSeWcKC4irWLHNK7Q%2BtKsEQn7tcuLb1unjWg7exHnj273RkAlaNdBq50GtsUpdmxTdN2Spk8Rgj7XC7UbsPVmfWTXIaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhEL%2BTlw4Yvfeq7g4gASIBA9hDrWg%3D,竖版视频,7.66E+18,235.39,"11,869",19.83,800,6.74%,0.29,12,19.62,1.50%,0,0,0.00%
-,高中生注意了；这套学霸笔记帮助你全面提升，点击链接领取！,标题,7.66E+18,215.11,"13,777",15.61,161,1.17%,1.34,9,23.9,5.59%,0,0,0.00%
0715瑞晨引流-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKHQYHqfEeQQNO32dRJs63LakNSDApmIKtoPcyNXTyfptH5o%2BxQxJ353zwMcsL%2Fut3QLJ7zS%2F%2BJg1YeTmpTBCwHXr5DOwoZ8ZtDyu%2FLRStiZVWsambHAzAN4cEzQUi%2BjKjC9sDgzyxCn5%2FaMznTHaytAO0aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhEL%2BTlw4Yvfeq7g4gASIBAw7KrRY%3D,竖版视频,7.66E+18,212.14,"7,906",26.83,308,3.90%,0.69,14,15.15,4.55%,0,0,0.00%
